"artists","danceability","energy","liveness","tempo","loudness","acousticness","speechiness"
"Roberto Fugazot",0.82,0.26,0.16,0.53,0.76,0.98,0.17
"Roberto Jordan",0.68,0.51,0.2,0.53,0.84,0.14,0.04
"Roberto Junior Y Su Bandeño",0.82,0.81,0.06,0.7,0.9,0.07,0.21
"Roberto Luna",0.46,0.57,0.35,0.55,0.93,0.97,0.04
"Roberto Luti",0.53,0.5,0.14,0.52,0.85,0.84,0.04
"Roberto Maida",0.62,0.4,0.2,0.6,0.84,0.97,0.08
"Roberto Menescal",0.51,0.39,0.11,0.57,0.77,0.54,0.04
"Roberto Menescal E Seu Conjunto",0.5,0.52,0.1,0.44,0.76,0.49,0.03
"Roberto Murolo",0.55,0.05,0.1,0.51,0.66,0.98,0.07
"Roberto Orellana",0.45,0.43,0.17,0.36,0.86,0.86,0.03
"Roberto Paiva",0.58,0.46,0.16,0.48,0.84,0.83,0.06
"Roberto Pulido",0.64,0.75,0.3,0.57,0.9,0.16,0.04
"Roberto Roena",0.64,0.71,0.16,0.63,0.89,0.71,0.05
"Roberto Roena Y Su Apollo Sound",0.63,0.68,0.19,0.47,0.87,0.53,0.04
"Roberto Servile",0.4,0.31,0.25,0.35,0.69,0.97,0.16
"Roberto Tapia",0.67,0.66,0.22,0.7,0.89,0.35,0.08
"Roberto Torres",0.68,0.52,0.03,0.43,0.79,0.55,0.26
"Roberto Yanes",0.26,0.36,0.15,0.39,0.83,0.92,0.03
"Robi Kahakalau",0.46,0.4,0.24,0.58,0.8,0.48,0.03
"Robin Cariño",0.65,0.53,0.09,0.78,0.79,0.6,0.06
"Robin Gibb",0.56,0.52,0.31,0.54,0.78,0.18,0.04
"Robin Guthrie",0.22,0.4,0.11,0.57,0.75,0.5,0.03
"Robin Hancock",0.65,0.7,0.05,0.55,0.83,0.05,0.03
"Robin Hannibal",0.42,0.79,0.33,0.59,0.9,0.08,0.08
"Robin Jeffrey",0.58,0.31,0.16,0.57,0.61,0.83,0.05
"Robin Lamont",0.28,0.69,0.17,0.64,0.87,0.33,0.07
"Robin Leggate",0.22,0.11,0.11,0.36,0.58,0.99,0.05
"Robin Lester",0.74,0.15,0.12,0.44,0.75,1,0.05
"Robin Majumdar",0.47,0.19,0.13,0.4,0.7,0.99,0.07
"Robin Mark",0.31,0.43,0.11,0.6,0.87,0.57,0.03
"Robin McAuley",0.45,0.81,0.13,0.51,0.93,0.01,0.04
"Robin S",0.74,0.8,0.08,0.56,0.88,0.18,0.09
"Robin Schulz",0.73,0.72,0.31,0.56,0.87,0.03,0.04
"Robin Scott",0.94,0.73,0.08,0.51,0.82,0.12,0.04
"Robin Stapleton",0.22,0.12,0.15,0.35,0.68,0.94,0.05
"Robin Thicke",0.75,0.54,0.13,0.47,0.86,0.25,0.12
"Robin Trower",0.48,0.59,0.18,0.53,0.8,0.16,0.06
"Robin Ward",0.53,0.38,0.21,0.47,0.79,0.77,0.03
"Robin Williams",0.56,0.63,0.8,0.45,0.69,0.85,0.94
"Robin de Jesus",0.63,0.44,0.14,0.53,0.84,0.51,0.2
"Robinson",0.7,0.52,0.19,0.42,0.87,0.24,0.03
"Robot Koch",0.58,0.38,0.14,0.6,0.76,0.7,0.03
"Robyn",0.61,0.82,0.13,0.65,0.9,0.02,0.05
"Robyn Ottolini",0.37,0.67,0.11,0.68,0.88,0.05,0.06
"Roc Raida",0.76,0.98,0.04,0.43,0.92,0.04,0.22
"Rocco DeLuca",0.62,0.59,0.09,0.58,0.88,0.05,0.03
"Roch Voisine",0.66,0.35,0.08,0.51,0.8,0.32,0.03
"Rocio Banquells",0.63,0.49,0.22,0.63,0.76,0.63,0.04
"Rock",0.3,0.6,0.29,0.33,0.91,0.59,0.03
"Rock City",0.75,0.85,0.31,0.66,0.86,0.1,0.09
"Rock D The Legend",0.86,0.92,0.57,0.67,0.9,0.08,0.14
"Rock Mafia",0.79,0.85,0.21,0.57,0.91,0.15,0.07
"Rock Projection",0.59,0.58,0.19,0.54,0.84,0.19,0.03
"Rockabye Baby!",0.47,0.15,0.11,0.56,0.67,0.86,0.05
"Rockabye Lullaby",0.54,0.17,0.12,0.53,0.76,0.9,0.1
"Rockell",0.78,0.68,0.13,0.61,0.85,0.03,0.04
"Rocket From The Crypt",0.39,0.96,0.07,0.68,0.9,0.01,0.08
"Rockin' Sidney",0.79,0.65,0.1,0.77,0.81,0.29,0.06
"Rocko",0.61,0.63,0.22,0.71,0.89,0.25,0.24
"Rockpile",0.62,0.77,0.1,0.67,0.81,0.23,0.05
"Rocksolid",0.58,0.71,0.21,0.57,0.87,0,0.03
"Rockwell",0.78,0.58,0.07,0.57,0.85,0.09,0.03
"Rocky Burnette",0.67,0.77,0.31,0.55,0.8,0.68,0.04
"Rocky Dog",0.66,0.79,0.69,0.59,0.87,0,0.04
"Rocky Orchestra",0.59,0.81,0.48,0.43,0.86,0.19,0.03
"Rocío Dúrcal",0.54,0.37,0.26,0.58,0.8,0.58,0.04
"Rocío Jurado",0.52,0.39,0.08,0.57,0.73,0.4,0.19
"Rod & Kevin",0.8,0.54,0.38,0.39,0.85,0.16,0.55
"Rod Hart",0.62,0.42,0.11,0.49,0.73,0.52,0.26
"Rod McKuen",0.29,0.27,0.28,0.59,0.68,0.89,0.31
"Rod McLennan",0.68,0.61,0.27,0.56,0.81,0.89,0.09
"Rod Stewart",0.54,0.58,0.17,0.57,0.8,0.37,0.04
"Rod Temperton",0.65,0.28,0.54,0.53,0.7,0.52,0.98
"Rod Wave",0.71,0.5,0.12,0.57,0.81,0.24,0.24
"Roddy McDowall",0.64,0.29,0.1,0.62,0.71,0.8,0.24
"Roddy Ricch",0.77,0.63,0.16,0.55,0.86,0.21,0.21
"Rodel Naval",0.58,0.66,0.23,0.57,0.84,0.33,0.03
"Roderick Porter",0.87,0.75,0.14,0.54,0.82,0.3,0.16
"Rodger Bumpass",0.4,0.95,0.67,0.3,0.89,0.62,0.47
"Rodney Atkins",0.57,0.83,0.23,0.58,0.9,0.1,0.05
"Rodney Carrington",0.45,0.6,0.5,0.77,0.83,0.65,0.29
"Rodney Crowell",0.63,0.45,0.12,0.58,0.77,0.49,0.04
"Rodney Dangerfield",0.51,0.72,0.47,0.46,0.74,0.81,0.98
"Rodney Ellis",0.86,0.8,0.05,0.46,0.88,0.02,0.1
"Rodney Franklin",0.62,0.63,0.22,0.5,0.76,0.32,0.03
"Rodney O",0.92,0.9,0.21,0.49,0.87,0.24,0.15
"Rodney-O & Joe Cooley",0.82,0.33,0.27,0.62,0.73,0,0.2
"Rodolfo Aicardi",0.64,0.51,0.19,0.46,0.83,0.57,0.06
"Rodrigo Amarante",0.72,0.42,0.16,0.52,0.76,0.47,0.07
"Rodrigo Deem",0.47,0.74,0.25,0.59,0.87,0,0.06
"Rodrigo y Gabriela",0.53,0.65,0.11,0.54,0.83,0.87,0.05
"Rodríguez",0.51,0.64,0.15,0.54,0.88,0.4,0.07
"Rody G",0.55,0.84,0.45,0.61,0.84,0.01,0.16
"Roedelius",0.33,0.34,0.11,0.51,0.7,0.8,0.04
"Rogelio Martinez",0.56,0.33,0.07,0.65,0.85,0.64,0.05
"Rogelio Martinez 'El Rm'",0.81,0.74,0.08,0.55,0.89,0.54,0.13
"Roger",0.68,0.7,0.15,0.48,0.87,0.13,0.07
"Roger & Zapp",0.79,0.37,0.06,0.81,0.86,0.07,0.24
"Roger Alan Wade",0.65,0.3,0.09,0.41,0.74,0.84,0.03
"Roger Barsotti",0.63,0.69,0.25,0.55,0.86,0.96,0.05
"Roger Bart",0.3,0.26,0.15,0.45,0.74,0.84,0.15
"Roger Bean",0.54,0.32,0.15,0.65,0.77,0.78,0.15
"Roger Creager",0.66,0.46,0.12,0.45,0.82,0.18,0.03
"Roger Daltrey",0.46,0.49,0.14,0.52,0.78,0.31,0.03
"Roger Desormiere",0.32,0.06,0.27,0.45,0.54,0.94,0.07
"Roger Desormière/Choeurs Yvonne Gouverné/Orchestre Symphonique de Paris",0.32,0.06,0.27,0.45,0.54,0.94,0.07
"Roger Desormières",0.25,0.42,0.38,0.36,0.78,0.94,0.22
"Roger Edens",0.87,0.21,0.18,0.54,0.61,0.79,0.68
"Roger Eno",0.27,0.04,0.09,0.41,0.55,0.91,0.04
"Roger Glover",0.6,0.81,0.85,0.51,0.9,0.63,0.05
"Roger Hodgson",0.44,0.38,0.18,0.59,0.72,0.6,0.03
"Roger McGuinn",0.45,0.5,0.24,0.58,0.81,0.4,0.04
"Roger Miller",0.63,0.36,0.17,0.61,0.75,0.75,0.1
"Roger Quilter",0.39,0.1,0.11,0.53,0.66,0.99,0.05
"Roger Sessions",0.16,0.13,0.14,0.36,0.67,0.64,0.04
"Roger Voisin",0.22,0.27,0.49,0.31,0.69,0.87,0.04
"Roger Voudouris",0.63,0.8,0.08,0.42,0.85,0.21,0.05
"Roger W. Lowther",0.16,0.12,0.16,0.39,0.59,0.63,0.04
"Roger Waters",0.5,0.26,0.25,0.57,0.7,0.31,0.04
"Roger White",0.65,0.4,0.46,0.6,0.77,0.82,0.04
"Roger Whittaker",0.5,0.18,0.12,0.4,0.68,0.93,0.04
"Roger Williams",0.33,0.17,0.15,0.5,0.72,0.88,0.03
"Rogue Traders",0.65,0.96,0.12,0.61,0.9,0,0.04
"Rogue Wave",0.64,0.46,0.11,0.6,0.85,0.82,0.03
"Rogue Zero",0.47,0.99,0.13,0.71,0.94,0.01,0.44
"Rohangiz Yachmi",0.3,0.12,0.22,0.7,0.69,0.96,0.05
"Rohini Roy",0.61,0.28,0.2,0.54,0.78,0.99,0.28
"Rojo",0.61,0.7,0.11,0.6,0.88,0.18,0.03
"Rokamouth",0.61,0.66,0.1,0.59,0.88,0.62,0.43
"Rokia Traoré",0.7,0.27,0.12,0.46,0.73,0.63,0.04
"Roky Erickson",0.46,0.78,0.23,0.74,0.87,0.1,0.06
"Roland Cazimero",0.46,0.4,0.24,0.58,0.8,0.48,0.03
"Roland Hayes",0.31,0.1,0.14,0.6,0.67,0.99,0.05
"Roland Pöntinen",0.35,0,0.07,0.31,0.32,1,0.07
"Roland Shaw & His Orchestra",0.35,0.15,0.41,0.42,0.78,0.9,0.03
"Rolando Aguiló y su Orquesta",0.64,0.4,0.25,0.5,0.82,0.75,0.05
"Rolando Alfonso",0.64,0.68,0.04,0.46,0.85,0.88,0.06
"Rolando Laserie",0.66,0.44,0.31,0.45,0.87,0.5,0.03
"Rolando Panerai",0.34,0.21,0.23,0.46,0.71,0.97,0.06
"Roldan",0.32,0.44,0.38,0.53,0.8,0.98,0.04
"Rolf Liebermann",0.2,0.29,0.45,0.66,0.64,0.98,0.05
"Rolf Løvland",0.22,0.22,0.14,0.4,0.76,0.9,0.04
"Rollins Band",0.23,0.93,0.09,0.72,0.85,0.01,0.09
"RolllenD",0.81,0.56,0.09,0.58,0.83,0,0.06
"Rollo Armstrong",0.78,0.58,0.17,0.58,0.81,0.18,0.04
"Roma Mazumder Kar",0.35,0.03,0.2,0.33,0.65,1,0.05
"Roma Sinfonietta",0.17,0.24,0.17,0.45,0.74,0.95,0.04
"Roman GianArthur",0.79,0.58,0.29,0.43,0.88,0.18,0.04
"Roman Hoffstetter",0.32,0.07,0.11,0.48,0.58,0.62,0.05
"Roman Tam",0.39,0.51,0.27,0.56,0.81,0.42,0.04
"Romare",0.87,0.34,0.18,0.58,0.84,0.79,0.05
"Rome",0.73,0.33,0.07,0.51,0.78,0.16,0.04
"Rome Opera Chorus and Orchestra",0.37,0.25,0.46,0.54,0.79,0.99,0.04
"Rome of Sublime",0.67,0.78,0.11,0.78,0.87,0.05,0.09
"Romeo Santos",0.76,0.73,0.2,0.58,0.9,0.4,0.08
"Romeo Void",0.61,0.78,0.16,0.68,0.83,0.04,0.07
"Romina Power",0.38,0.5,0.31,0.86,0.81,0.44,0.04
"Romualdo Brito",0.82,0.3,0.1,0.61,0.78,0.52,0.11
"Romy",0.66,0.7,0.12,0.5,0.81,0.01,0.05
"Romy Dya",0.53,0.52,0.2,0.68,0.85,0.44,0.06
"Ron Albert",0.67,0.53,0.16,0.54,0.77,0.13,0.03
"Ron Browz",0.61,0.43,0.1,0.63,0.87,0.03,0.3
"Ron Carter",0.45,0.22,0.2,0.54,0.65,0.84,0.04
"Ron Cuijpers",0.46,0.53,0.25,0.43,0.82,0.61,0.07
"Ron Furmanek",0.44,0.26,0.14,0.57,0.76,0.74,0.05
"Ron Hamilton",0.2,0.19,0.18,0.37,0.73,0.89,0.04
"Ron Hussmann",0.72,0.2,0.12,0.51,0.7,0.85,0.13
"Ron Kenoly",0.52,0.36,0.19,0.5,0.71,0.16,0.07
"Ron McMaster",0.6,0.15,0.12,0.46,0.71,0.94,0.04
"Ron Moody",0.67,0.19,0.11,0.47,0.69,0.58,0.31
"Ron Pope",0.46,0.44,0.2,0.53,0.86,0.59,0.03
"Ron White",0.48,0.81,0.95,0.45,0.79,0.9,0.87
"Ronald Binge",0.13,0.04,0.08,0.35,0.56,0.97,0.04
"Ronald Cavaye",0.49,0.01,0.06,0.53,0.58,0.98,0.08
"Ronald Colman",0.64,0.26,0.81,0.53,0.5,0.99,0.88
"Ronald Emery",0.45,0.03,0.11,0.68,0.62,1,0.07
"Ronald Hanmer",0.64,0.38,0.12,0.43,0.79,0.88,0.12
"Ronald Holgate",0.58,0.49,0.31,0.53,0.82,0.85,0.24
"Ronald Holgate & Zero Mostel",0.63,0.33,0.41,0.5,0.79,0.84,0.3
"Ronald Isley",0.67,0.47,0.16,0.5,0.82,0.46,0.08
"Ronaldo Boscoli",0.29,0.3,0.14,0.66,0.78,0.21,0.03
"Ronan Hardiman",0.3,0.55,0.07,0.57,0.77,0.33,0.04
"Ronan Keating",0.54,0.62,0.19,0.52,0.85,0.17,0.04
"Rondalla Mexicana Del Chato Franco",0.58,0.28,0.13,0.46,0.8,0.83,0.03
"Ronn Cummins",0.72,0.19,0.36,0.58,0.75,0.87,0.12
"Ronnie Aldrich",0.39,0.22,0.32,0.48,0.73,0.83,0.03
"Ronnie Aldrich and his 2 pianos",0.51,0.25,0.11,0.51,0.72,0.74,0.03
"Ronnie Dunn",0.66,0.29,0.1,0.68,0.85,0.9,0.04
"Ronnie Dyson",0.44,0.49,0.25,0.51,0.78,0.29,0.04
"Ronnie Flex",0.92,0.74,0.08,0.55,0.9,0.05,0.05
"Ronnie Foster",0.58,0.55,0.11,0.45,0.76,0.51,0.04
"Ronnie Hawkins",0.6,0.77,0.1,0.52,0.85,0.61,0.06
"Ronnie James Dio",0.6,0.81,0.85,0.51,0.9,0.63,0.05
"Ronnie Lane",0.67,0.47,0.08,0.36,0.73,0.69,0.04
"Ronnie Lane & Slim Chance",0.49,0.35,0.07,0.75,0.75,0.77,0.04
"Ronnie Laws",0.48,0.61,0.13,0.62,0.79,0.21,0.04
"Ronnie Laws & Pressure",0.61,0.91,0.11,0.48,0.77,0.23,0.04
"Ronnie Mann",0.25,0.52,0.32,0.35,0.89,0.56,0.03
"Ronnie McDowell",0.61,0.58,0.18,0.59,0.8,0.53,0.08
"Ronnie Milsap",0.58,0.43,0.15,0.54,0.79,0.42,0.03
"Ronnie Self",0.6,0.84,0.28,0.52,0.9,0.63,0.07
"Ronnie Spector",0.42,0.81,0.37,0.77,0.86,0.02,0.05
"Ronnie Spencer",0.78,0.46,0.33,0.44,0.84,0.35,0.09
"Ronnie Torres",0.74,0.89,0.11,0.6,0.89,0.23,0.03
"Ronnie Wood",0.51,0.53,0.11,0.63,0.79,0.37,0.06
"Ronny",0.54,0.49,0.42,0.42,0.81,0.18,0.03
"Ronny Jordan",0.65,0.46,0.21,0.61,0.75,0.33,0.06
"Roo Panes",0.47,0.32,0.11,0.64,0.81,0.94,0.03
"Rook1e",0.54,0.31,0.13,0.36,0.75,0.64,0.06
"Room 5",0.88,0.89,0.04,0.57,0.9,0.01,0.12
"Rooney",0.56,0.9,0.06,0.7,0.92,0,0.05
"Roop Kumar Rathod",0.54,0.6,0.14,0.46,0.84,0.53,0.05
"Rooprekha Chatterjee",0.54,0.37,0.41,0.45,0.77,0.82,0.14
"Roots Manuva",0.66,0.84,0.2,0.55,0.88,0,0.22
"Roots Radics",0.79,0.41,0.12,0.55,0.76,0.1,0.16
"Rory ""Sweet Boy"" Dolan",0.73,0.73,0.38,0.79,0.85,0.06,0.27
"Rory Gallagher",0.47,0.7,0.27,0.54,0.8,0.16,0.06
"Rory O'Malley",0.61,0.49,0.26,0.63,0.81,0.68,0.39
"Ros Serey Sothea",0.43,0.77,0.15,0.65,0.87,0.01,0.05
"Rosa Cania",0.22,0.08,0.09,0.31,0.62,0.95,0.06
"Rosa Rimoch",0.3,0.35,0.44,0.48,0.73,0.99,0.13
"Rosalind Harris",0.6,0.21,0.14,0.48,0.73,0.92,0.27
"Rosalind Russell",0.52,0.57,0.67,0.6,0.8,0.77,0.27
"Rosana",0.59,0.5,0.13,0.58,0.85,0.69,0.07
"Rosanna Carteri",0.41,0.25,0.39,0.49,0.71,0.98,0.12
"Rosanne Cash",0.7,0.49,0.15,0.53,0.77,0.32,0.06
"Rosario",0.78,0.57,0.08,0.56,0.81,0.29,0.05
"Rosario Dawson",0.55,0.65,0.17,0.56,0.89,0.33,0.04
"Roscoe Dash",0.64,0.81,0.29,0.64,0.91,0.05,0.11
"Roscoe Holcomb",0.39,0.01,0.1,0.79,0.7,0.96,0.06
"Roscoe Wright",0.46,0.76,0.08,0.43,0.83,0.61,0.11
"Rose",0.56,0.27,0.26,0.52,0.8,0.8,0.2
"Rose Cousins",0.48,0.18,0.1,0.37,0.82,0.93,0.03
"Rose Maddox",0.63,0.56,0.14,0.57,0.82,0.66,0.08
"Rose Murphy",0.79,0.38,0.22,0.52,0.74,0.88,0.06
"Rose Royce",0.59,0.45,0.11,0.52,0.75,0.44,0.07
"Rose Tattoo",0.48,0.79,0.21,0.6,0.82,0.04,0.04
"Roselle Nava",0.49,0.31,0.16,0.49,0.76,0.69,0.04
"Rosemarie",0.58,0.27,0.4,0.56,0.79,0.78,0.17
"Rosemary & Garlic",0.49,0.41,0.12,0.64,0.76,0.82,0.03
"Rosemary Ashe",0.45,0.18,0.14,0.48,0.74,0.81,0.09
"Rosemary Clooney",0.51,0.26,0.23,0.51,0.76,0.88,0.06
"Rosemary DeCamp",0.76,0.72,0.71,0.39,0.87,0.97,0.18
"Rosemary Gaines",0.44,0.35,0.2,0.54,0.79,0.85,0.14
"Rosetta Stone",0.46,0.75,0.18,0.68,0.83,0,0.04
"Rosette Anday",0.34,0.14,0.31,0.44,0.62,0.92,0.11
"Roshan Ara Begum",0.55,0.32,0.19,0.54,0.84,0.99,0.04
"Roshon Bernard Fegan",0.72,0.89,0.07,0.45,0.9,0.14,0.12
"Roshon Fegan",0.61,0.94,0.07,0.69,0.92,0.01,0.14
"Rosie & The Originals",0.49,0.29,0.12,0.58,0.79,0.83,0.03
"Rosie And Ron",0.52,0.48,0.21,0.49,0.82,0.89,0.03
"Rosie Gaines",0.69,0.59,0.7,0.57,0.87,0.33,0.04
"Rosie O'Donnell",0.75,0.72,0.38,0.45,0.84,0.17,0.15
"Rosie Romero",0.83,0.61,0.04,0.59,0.84,0.01,0.06
"Rosinha De Valença",0.55,0.57,0.13,0.49,0.82,0.7,0.05
"Roslyn Sweat",0.79,0.6,0.06,0.68,0.89,0.33,0.2
"Ross",0.76,0.89,0.64,0.52,0.91,0.18,0.08
"Ross Copperman",0.47,0.58,0.07,0.36,0.84,0.62,0.03
"Ross Lynch",0.63,0.73,0.23,0.52,0.89,0.21,0.06
"Ross Pople",0.61,0.06,0.16,0.62,0.57,0.98,0.06
"Rossington Collins Band",0.6,0.55,0.14,0.57,0.82,0.22,0.04
"Rosso Profondo",0.88,0.81,0.1,0.62,0.8,0,0.05
"Rossy War y Su Banda Kaliente",0.85,0.71,0.05,0.48,0.89,0.07,0.03
"Rostam",0.53,0.83,0.17,0.79,0.9,0.41,0.1
"Rostislav Pljatt",0.62,0.27,0.25,0.47,0.8,0.99,0.66
"Rosy Grier",0.73,0.46,0.1,0.59,0.81,0.72,0.04
"Rotary Connection",0.43,0.45,0.25,0.49,0.74,0.31,0.03
"Rotimi",0.64,0.5,0.1,0.48,0.88,0.23,0.19
"Rough Trade",0.87,0.3,0.1,0.5,0.73,0.01,0.06
"Roula",0.81,0.88,0.19,0.58,0.85,0,0.05
"Roupa Nova",0.53,0.7,0.55,0.63,0.85,0.53,0.04
"Route 94",0.81,0.62,0.07,0.55,0.85,0,0.05
"Rowan Atkinson",0.69,0.53,0.1,0.45,0.75,0.32,0.06
"Rowan Blanchard",0.64,0.71,0.05,0.53,0.87,0,0.04
"Rowdy Rebel",0.61,0.75,0.31,0.73,0.89,0.11,0.33
"Rowlf",0.67,0.31,0.1,0.55,0.75,0.73,0.13
"Roxette",0.6,0.68,0.17,0.53,0.88,0.13,0.03
"Roxy Music",0.54,0.71,0.17,0.55,0.85,0.21,0.06
"Roy Acuff",0.63,0.3,0.22,0.59,0.78,0.92,0.05
"Roy Acuff & His Smoky Mountain Boys",0.58,0.36,0.24,0.63,0.78,0.95,0.04
"Roy Acuff And His Crazy Tennesseans",0.7,0.18,0.16,0.43,0.77,0.98,0.04
"Roy Ayers",0.64,0.62,0.14,0.51,0.81,0.29,0.06
"Roy Ayers Ubiquity",0.58,0.67,0.11,0.57,0.78,0.3,0.07
"Roy Ayres",0.72,0.42,0.1,0.69,0.83,0.36,0.09
"Roy Blair",0.62,0.33,0.12,0.42,0.81,0.19,0.03
"Roy Brown",0.57,0.7,0.19,0.48,0.83,0.61,0.09
"Roy Buchanan",0.41,0.31,0.17,0.66,0.74,0.26,0.05
"Roy C",0.6,0.35,0.09,0.56,0.7,0.44,0.08
"Roy Clark",0.48,0.6,0.22,0.58,0.78,0.21,0.05
"Roy Drusky",0.55,0.33,0.27,0.45,0.79,0.65,0.03
"Roy Eldridge",0.53,0.37,0.17,0.52,0.76,0.79,0.08
"Roy Eldridge All-Stars",0.47,0.58,0.72,0.6,0.78,0.91,0.05
"Roy English",0.54,0.85,0.42,0.59,0.94,0.04,0.03
"Roy Fox",0.54,0.14,0.15,0.56,0.68,0.97,0.08
"Roy Hamilton",0.47,0.39,0.32,0.46,0.74,0.75,0.07
"Roy Hargrove",0.52,0.25,0.1,0.49,0.77,0.73,0.05
"Roy Harper",0.38,0.3,0.13,0.41,0.74,0.64,0.03
"Roy Haynes",0.53,0.48,0.1,0.51,0.8,0.44,0.04
"Roy Haynes Quartet",0.49,0.5,0.12,0.42,0.78,0.71,0.05
"Roy Head & The Traits",0.6,0.62,0.29,0.74,0.85,0.4,0.06
"Roy Jones Jr.",0.68,0.77,0.15,0.56,0.88,0.03,0.17
"Roy Lazarus",0.6,0.26,0.38,0.53,0.75,0.89,0.04
"Roy Mayorga",0.53,0.98,0.19,0.55,0.91,0,0.08
"Roy Orbison",0.48,0.47,0.19,0.52,0.81,0.66,0.03
"Roy Rogers",0.45,0.23,0.13,0.56,0.77,0.82,0.04
"Roy Rogers/Dale Evans",0.7,0.47,0.09,0.53,0.81,0.85,0.04
"Roy Webb",0.18,0.35,0.32,0.57,0.78,0.72,0.03
"Roy Woods",0.73,0.47,0.12,0.45,0.84,0.22,0.07
"Royal & the Serpent",0.8,0.32,0.15,0.4,0.8,0.31,0.32
"Royal Blood",0.52,0.88,0.16,0.5,0.91,0.05,0.06
"Royal Choral Society",0.2,0.3,0.13,0.65,0.68,0.68,0.04
"Royal Crown Revue",0.6,0.79,0.08,0.63,0.87,0.02,0.06
"Royal Deluxe",0.5,0.49,0.09,0.36,0.88,0.03,0.08
"Royal Liverpool Philharmonic Orchestra",0.22,0.1,0.09,0.41,0.58,0.95,0.05
"Royal Northern Sinfonia",0.18,0.05,0.29,0.33,0.53,0.97,0.04
"Royal Philharmonic Orchestra",0.29,0.2,0.23,0.46,0.67,0.89,0.1
"Royal Scottish National Orchestra",0.25,0.11,0.12,0.53,0.6,0.95,0.04
"Royal Stockholm Philharmonic Orchestra Strings",0.27,0.11,0.08,0.32,0.59,0.85,0.05
"Royal Tailor",0.69,0.92,0.07,0.65,0.91,0.01,0.1
"Royal posse",0.82,0.49,0.27,0.62,0.72,0,0.08
"Royalty the Kidd",0.72,0.89,0.27,0.42,0.97,0.03,0.3
"Royce Da 5'9""",0.63,0.7,0.47,0.49,0.86,0.24,0.29
"Roykoynas",0.53,0.47,0.25,0.53,0.8,0.99,0.04
"Roz Ryan",0.56,0.57,0.18,0.62,0.81,0.51,0.14
"Roza Esakenazi",0.43,0.34,0.32,0.42,0.79,1,0.04
"Roza Eskenaqzi",0.54,0.39,0.09,0.48,0.82,0.99,0.03
"Roza Eskenazi",0.45,0.41,0.25,0.49,0.81,0.96,0.05
"RuPaul",0.8,0.73,0.18,0.59,0.85,0.03,0.07
"Rubblebucket",0.78,0.72,0.17,0.55,0.88,0.03,0.04
"Rubby Haddock and Orchesta",0.52,0.53,0.09,0.79,0.78,0.65,0.04
"Rubby Perez",0.71,0.54,0.1,0.65,0.75,0.09,0.04
"Rubby Pérez",0.52,0.54,0.16,0.58,0.72,0.42,0.04
"Rube Bloom & His Bayou Boys",0.86,0.47,0.24,0.59,0.81,0.97,0.06
"Ruben Gonzalez",0.64,0.38,0.14,0.53,0.77,0.69,0.04
"Ruben Haze",0.48,0.82,0.44,0.59,0.9,0,0.04
"Ruben Ramos",0.46,0.49,0.06,0.42,0.87,0.57,0.03
"Ruben Studdard",0.72,0.6,0.38,0.63,0.87,0.06,0.06
"Ruben Tagalog",0.65,0.34,0.44,0.55,0.74,0.58,0.04
"Ruben Tagalog, Tres Rosas & Leopoldo Silos",0.8,0.39,0.14,0.56,0.78,0.29,0.05
"Ruben Vela",0.68,0.47,0.06,0.41,0.76,0.22,0.12
"Ruben Zurita",0.88,0.54,0.66,0.57,0.84,0,0.24
"Ruby",0.76,0.84,0.31,0.45,0.87,0.18,0.04
"Ruby And The Romantics",0.59,0.45,0.25,0.43,0.83,0.86,0.03
"Ruby Braff",0.55,0.26,0.16,0.67,0.8,0.91,0.04
"Ruby Braff & Coleman Hawkins",0.7,0.45,0.22,0.55,0.8,0.79,0.03
"Ruby Smith",0.74,0.26,0.21,0.42,0.74,0.98,0.05
"Rubén Blades",0.61,0.58,0.16,0.5,0.83,0.57,0.07
"Rubén Juárez",0.58,0.26,0.62,0.53,0.7,0.55,0.08
"Rude Boys with Gerald Levert",0.81,0.53,0.26,0.62,0.78,0.43,0.07
"Rudi Goguel",0.53,0.1,0.1,0.41,0.74,0.98,0.06
"Rudi Schuricke",0.43,0.16,0.22,0.47,0.72,0.99,0.04
"Rudimental",0.62,0.76,0.26,0.6,0.89,0.11,0.05
"Rudolf Baumgartner",0.2,0.14,0.16,0.58,0.67,0.94,0.05
"Rudolf Cortés",0.41,0.34,0.11,0.34,0.79,0.9,0.04
"Rudolf Dittrich",0.26,0.28,0.24,0.4,0.74,0.91,0.05
"Rudolf Firkusny",0.24,0.04,0.1,0.4,0.57,0.99,0.05
"Rudolf Kempe",0.17,0.06,0.25,0.34,0.59,0.8,0.04
"Rudolf Moralt",0.3,0.19,0.15,0.53,0.7,0.96,0.07
"Rudolf Neuhaus",0.24,0.12,0.26,0.44,0.69,0.97,0.04
"Rudolf Petrak",0.18,0.2,0.13,0.33,0.67,0.96,0.05
"Rudolf Schmalnauer",0.26,0.28,0.24,0.4,0.74,0.91,0.05
"Rudolf Schock",0.25,0.03,0.11,0.48,0.47,0.04,0.04
"Rudolf Serkin",0.36,0.14,0.13,0.48,0.63,0.98,0.06
"Rudolf Sieczynski",0.2,0.29,0.08,0.42,0.79,0.98,0.03
"Rudolf Vasata",0.27,0.2,0.28,0.49,0.72,0.96,0.06
"Rudy La Scala",0.64,0.46,0.14,0.46,0.8,0.4,0.03
