"group","axis","value"
"A Guy Called Gerald","liveness",0.0724
"A Guy Called Gerald","tempo",119.504
"A Heart Beats","danceability",0.507
"A Heart Beats","energy",0.255
"A Heart Beats","liveness",0.172
"A Heart Beats","tempo",97.231
"A Jam Session At Victor","danceability",0.717
"A Jam Session At Victor","energy",0.178
"A Jam Session At Victor","liveness",0.0663
"A Jam Session At Victor","tempo",84.079
"A L E X","danceability",0.82
"A L E X","energy",0.281
"A L E X","liveness",0.0925
"A L E X","tempo",104.988
"A Perfect Circle","danceability",0.519525424
"A Perfect Circle","energy",0.622520339
"A Perfect Circle","liveness",0.135864407
"A Perfect Circle","tempo",124.4771017
"A R I Z O N A","danceability",0.655076923
"A R I Z O N A","energy",0.649
"A R I Z O N A","liveness",0.117338462
"A R I Z O N A","tempo",103.9159231
"A Rocket To The Moon","danceability",0.374333333
"A Rocket To The Moon","energy",0.687
"A Rocket To The Moon","liveness",0.147333333
"A Rocket To The Moon","tempo",168.2976667
"A Skylit Drive","danceability",0.25275
"A Skylit Drive","energy",0.9275
"A Skylit Drive","liveness",0.2539
"A Skylit Drive","tempo",123.785
"A Static Lullaby","danceability",0.555
"A Static Lullaby","energy",0.98
"A Static Lullaby","liveness",0.0661
"A Static Lullaby","tempo",143.005
"A Taste Of Honey","danceability",0.75475
"A Taste Of Honey","energy",0.53875
"A Taste Of Honey","liveness",0.121125
"A Taste Of Honey","tempo",126.93325
"A Thousand Horses","danceability",0.433
"A Thousand Horses","energy",0.776
"A Thousand Horses","liveness",0.387
"A Thousand Horses","tempo",149.641
"A Touch Of Class","danceability",0.6755
"A Touch Of Class","energy",0.91725
"A Touch Of Class","liveness",0.11875
"A Touch Of Class","tempo",128.456
"A Tree Grows in Brooklyn Ensemble","danceability",0.45375
"A Tree Grows in Brooklyn Ensemble","energy",0.22375
"A Tree Grows in Brooklyn Ensemble","liveness",0.274475
"A Tree Grows in Brooklyn Ensemble","tempo",91.52275
"A Tree Grows in Brooklyn Orchestra","danceability",0.261
"A Tree Grows in Brooklyn Orchestra","energy",0.379
"A Tree Grows in Brooklyn Orchestra","liveness",0.146
"A Tree Grows in Brooklyn Orchestra","tempo",111.529
"A Tribe Called Quest","danceability",0.825671233
"A Tribe Called Quest","energy",0.568746575
"A Tribe Called Quest","liveness",0.215568493
"A Tribe Called Quest","tempo",97.587
"A Tribe Called Red","danceability",0.658
"A Tribe Called Red","energy",0.573
"A Tribe Called Red","liveness",0.0981
"A Tribe Called Red","tempo",133.442
"A Winged Victory for the Sullen","danceability",0.0804
"A Winged Victory for the Sullen","energy",0.0836
"A Winged Victory for the Sullen","liveness",0.119
"A Winged Victory for the Sullen","tempo",82.14
"A$AP ANT","danceability",0.8305
"A$AP ANT","energy",0.614
"A$AP ANT","liveness",0.30615
"A$AP ANT","tempo",127.49
"A$AP Ferg","danceability",0.76035
"A$AP Ferg","energy",0.718825
"A$AP Ferg","liveness",0.2365225
"A$AP Ferg","tempo",130.258875
"A$AP Mob","danceability",0.7787
"A$AP Mob","energy",0.7157
"A$AP Mob","liveness",0.19892
"A$AP Mob","tempo",127.9901
"A$AP NAST","danceability",0.79
"A$AP NAST","energy",0.730666667
"A$AP NAST","liveness",0.1371
"A$AP NAST","tempo",121.6696667
"A$AP Rocky","danceability",0.671706422
"A$AP Rocky","energy",0.66006422
"A$AP Rocky","liveness",0.228302752
"A$AP Rocky","tempo",126.5779174
"A$AP Twelvyy","danceability",0.7405
"A$AP Twelvyy","energy",0.709833333
"A$AP Twelvyy","liveness",0.266883333
"A$AP Twelvyy","tempo",128.8426667
"A*M*E","danceability",0.621
"A*M*E","energy",0.84
"A*M*E","liveness",0.656
"A*M*E","tempo",123.266
"A*Teens","danceability",0.717
"A*Teens","energy",0.879
"A*Teens","liveness",0.257433333
"A*Teens","tempo",124.9966667
"A-Lin","danceability",0.399
"A-Lin","energy",0.512
"A-Lin","liveness",0.104
"A-Lin","tempo",133.175
"A-Mei Chang","danceability",0.542
